condition,confidence,n_nonzero_morphogens,fidelity
virtual_00488,0.01,8,0.0
virtual_00489,0.027218972164628007,7,0.0
virtual_00490,0.0464781746116906,6,0.0
virtual_00491,0.023032614836361084,6,0.0
virtual_00492,0.06497032799840967,3,0.0
virtual_00493,0.07440990226638876,6,0.0
virtual_00494,0.012125392261026793,8,0.0
virtual_00495,0.024851008207834716,6,0.0
virtual_00496,0.015423747737102683,6,0.0
virtual_00497,0.013108402672682845,4,0.0
virtual_00498,0.187180334313937,7,0.0
virtual_00499,0.01276923921845886,8,0.0
virtual_00500,0.09375099132246473,8,0.0
virtual_00501,0.16042634265755937,4,0.0
virtual_00502,0.01,7,0.0
virtual_00503,0.023361395025332424,8,0.0
virtual_00504,0.027719427419366865,7,0.0
virtual_00505,0.02068579219202392,8,0.0
virtual_00506,0.01,4,0.0
virtual_00507,0.021226270476718132,7,0.0
virtual_00508,0.01,6,0.0
virtual_00509,0.01,8,0.0
virtual_00510,0.01,5,0.0
virtual_00511,0.01,7,0.0
virtual_00512,0.01,5,0.0
virtual_00513,0.052313287309559864,6,0.0
virtual_00514,0.08017922377320676,7,0.0
virtual_00515,0.02785819279582617,8,0.0
virtual_00516,0.01347767026424855,7,0.0
virtual_00517,0.051437490251653395,6,0.0
virtual_00518,0.01980933563755987,5,0.0
virtual_00519,0.01,5,0.0
virtual_00520,0.12499296593080735,4,0.0
virtual_00521,0.01,5,0.0
virtual_00522,0.014257931366994195,4,0.0
virtual_00523,0.051139718676024744,6,0.0
virtual_00524,0.226243261762186,5,0.0
virtual_00525,0.01,8,0.0
virtual_00526,0.01,6,0.0
virtual_00527,0.024475190966619067,8,0.0
virtual_00528,0.01,9,0.0
virtual_00529,0.01,6,0.0
virtual_00530,0.01647324622479137,5,0.0
virtual_00531,0.01,7,0.0
virtual_00532,0.01,8,0.0
virtual_00533,0.01,9,0.0
virtual_00534,0.12048570986580127,6,0.0
virtual_00535,0.03241726111343988,8,0.0
virtual_00536,0.03758358349477324,7,0.0
virtual_00537,0.07001320125283941,6,0.0
virtual_00538,0.01,9,0.0
virtual_00539,0.06318318412675437,5,0.0
virtual_00540,0.01,6,0.0
virtual_00541,0.01,9,0.0
virtual_00542,0.03842783240403546,6,0.0
virtual_00543,0.05662411763868847,6,0.0
virtual_00544,0.01,9,0.0
virtual_00545,0.01,7,0.0
virtual_00546,0.01,7,0.0
virtual_00547,0.07911775428495439,7,0.0
virtual_00548,0.01,7,0.0
